Tree;Sp;DY;RF;nC;nE;nL;nM
1;ABAL;82;1;7;0;0;0
1;ABAL;82;2;7;0;0;0
1;ABAL;82;3;8;0;0;0
1;ABAL;109;1;6;0;0;0
1;ABAL;109;2;NA;0;0;0
1;ABAL;109;3;NA;0;0;0
1;ABAL;116;1;7;0;0;0
1;ABAL;123;1;7;0;0;0
1;ABAL;123;2;8;0;0;0
1;ABAL;123;3;9;0;0;0
1;ABAL;130;1;9;1;0;0
1;ABAL;137;1;9;2;2;0
1;ABAL;137;2;10;NA;2;0
1;ABAL;137;3;NA;NA;3;0
1;ABAL;144;1;10;2;3;0
1;ABAL;144;2;NA;NA;4;0
1;ABAL;144;3;NA;NA;NA;0
1;ABAL;151;1;7;2;10;0
1;ABAL;151;2;NA;4;9;0
1;ABAL;151;3;NA;3;8;0
1;ABAL;158;1;8;4;13;0
1;ABAL;158;2;10;5;12;0
1;ABAL;158;3;13;6;NA;0
1;ABAL;165;1;8;3;14;5
1;ABAL;165;2;8;2;14;5
1;ABAL;165;3;10;2;14;5
1;ABAL;172;1;8;2;12;9
1;ABAL;172;2;NA;NA;12;8
1;ABAL;172;3;NA;NA;11;10
1;ABAL;179;1;10;3;11;15
1;ABAL;179;2;10;3;11;15
1;ABAL;179;3;10;4;13;14
1;ABAL;186;1;10;2;10;20
1;ABAL;186;2;NA;2;10;18
1;ABAL;186;3;NA;2;9;15
1;ABAL;193;1;10;3;11;23
1;ABAL;193;2;NA;NA;10;17
1;ABAL;193;3;NA;NA;10;22
1;ABAL;200;1;10;3;9;26
1;ABAL;200;2;NA;NA;9;24
1;ABAL;200;3;NA;NA;10;25
1;ABAL;207;1;10;3;6;27
1;ABAL;207;2;NA;NA;6;27
1;ABAL;207;3;NA;NA;7;27
1;ABAL;214;1;10;4;5;27
1;ABAL;214;2;NA;3;6;24
1;ABAL;214;3;NA;3;6;25
1;ABAL;221;1;10;4;5;30
1;ABAL;221;2;NA;3;6;29
1;ABAL;221;3;NA;NA;6;30
1;ABAL;228;1;9;3;9;28
1;ABAL;228;2;NA;2;8;29
1;ABAL;228;3;NA;3;10;29
1;ABAL;235;1;8;2;5;30
1;ABAL;235;2;NA;1;6;30
1;ABAL;235;3;NA;1;7;30
1;ABAL;242;1;7;1;8;28
1;ABAL;242;2;NA;1;9;22
1;ABAL;242;3;NA;NA;7;28
1;ABAL;249;1;8;1;8;27
1;ABAL;249;2;NA;1;10;28
1;ABAL;249;3;NA;1;9;24
1;ABAL;256;1;8;2;9;32
1;ABAL;256;2;NA;1;7;31
1;ABAL;256;3;NA;1;7;31
1;ABAL;263;1;8;0;6;31
1;ABAL;263;2;8;0;6;34
1;ABAL;263;3;8;1;5;32
1;ABAL;270;1;6;0;6;36
1;ABAL;270;2;7;0;5;36
1;ABAL;270;3;6;0;5;35
1;ABAL;277;1;7;0;6;36
1;ABAL;277;2;NA;0;5;36
1;ABAL;277;3;NA;0;5;39
1;ABAL;284;1;7;0;4;35
1;ABAL;284;2;7;0;4;35
1;ABAL;284;3;7;0;4;34
1;ABAL;291;1;7;0;0;40
1;ABAL;291;2;7;0;0;39
1;ABAL;291;3;6;0;1;38
1;ABAL;298;1;7;0;0;38
1;ABAL;298;2;7;0;0;37
1;ABAL;298;3;6;0;0;41
1;ABAL;305;1;7;0;0;39
1;ABAL;305;2;7;0;0;37
1;ABAL;305;3;7;0;0;39
1;ABAL;312;1;6;0;0;38
1;ABAL;312;2;6;0;0;36
1;ABAL;312;3;7;0;0;40
1;ABAL;319;1;7;0;0;38
1;ABAL;319;2;7;0;0;37
1;ABAL;319;3;6;0;0;37
1;ABAL;326;1;6;0;0;36
1;ABAL;326;2;7;0;0;35
1;ABAL;326;3;7;0;0;35
1;ABAL;340;1;7;0;0;35
1;ABAL;340;2;7;0;0;36
1;ABAL;340;3;7;0;0;35
2;ABAL;109;1;6;0;0;0
2;ABAL;116;1;6;0;0;0
2;ABAL;116;2;7;0;0;0
2;ABAL;116;3;7;0;0;0
2;ABAL;123;1;8;1;0;0
2;ABAL;123;2;NA;NA;0;0
2;ABAL;123;3;NA;NA;0;0
2;ABAL;130;1;9;3;0;0
2;ABAL;130;2;9;4;0;0
2;ABAL;130;3;9;3;0;0
2;ABAL;137;1;9;3;5;0
2;ABAL;137;2;10;NA;NA;0
2;ABAL;137;3;10;NA;NA;0
2;ABAL;144;1;10;4;11;0
2;ABAL;144;2;10;5;11;0
2;ABAL;144;3;11;NA;12;0
2;ABAL;151;1;11;7;13;0
2;ABAL;151;2;11;6;11;0
2;ABAL;151;3;10;5;12;0
2;ABAL;158;1;14;4;18;0
2;ABAL;158;2;12;3;18;1
2;ABAL;158;3;12;3;18;1
2;ABAL;165;1;9;2;14;6
2;ABAL;165;2;10;2;14;6
2;ABAL;165;3;11;3;14;5
2;ABAL;172;1;9;3;20;7
2;ABAL;172;2;9;3;21;7
2;ABAL;172;3;10;2;20;8
2;ABAL;179;1;10;2;23;13
2;ABAL;179;2;NA;2;20;12
2;ABAL;179;3;NA;3;19;11
2;ABAL;186;1;13;1;16;19
2;ABAL;186;2;10;1;14;17
2;ABAL;186;3;11;1;16;21
2;ABAL;193;1;9;2;13;42
2;ABAL;193;2;10;1;10;33
2;ABAL;193;3;10;1;14;34
2;ABAL;200;1;9;3;7;43
2;ABAL;200;2;NA;NA;7;40
2;ABAL;200;3;NA;NA;10;37
2;ABAL;207;1;9;3;6;44
2;ABAL;207;2;NA;3;9;37
2;ABAL;207;3;NA;NA;7;47
2;ABAL;214;1;9;3;6;50
2;ABAL;214;2;NA;NA;6;46
2;ABAL;214;3;NA;NA;6;49
2;ABAL;221;1;9;3;5;44
2;ABAL;221;2;NA;NA;6;47
2;ABAL;221;3;NA;NA;7;45
2;ABAL;228;1;7;1;1;52
2;ABAL;228;2;7;2;1;45
2;ABAL;228;3;7;NA;2;39
2;ABAL;235;1;9;3;3;38
2;ABAL;235;2;NA;NA;NA;45
2;ABAL;235;3;NA;NA;NA;39
2;ABAL;242;1;9;2;2;39
2;ABAL;242;2;NA;NA;2;35
